FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label,Attack
1421947407617,1421947407629,59.166.0.4,62235,149.171.126.6,60365,6,36.0,2438,38,19502,40,27,27,27,11,11,11,31,32,1352,52,52,1352,1772.909090909091,221.63636363636363,595,7,9331,12,1625333,13001333,64,0,0,2,12,23168,14480,21248,83,0,0,0,0,0,2,0,0,0,2,0,0,0,Benign
1424261196793,1424261199189,175.45.176.2,41425,149.171.126.15,21,6,1.0,535,11,776,11,24,24,16,2395,2279,2302,62,63,110,40,40,110,0.3240083507306889,0.2233820459290187,223,4,323,4,1786,2590,31,0,0,0,0,16383,16383,57088,223,0,0,0,213,0,923,206,287,0,1333,221,355,1,Exploits
1421941951026,1421941951042,59.166.0.3,22713,149.171.126.0,15714,6,36.0,2438,38,19408,40,27,27,27,15,15,15,31,32,1352,52,52,1352,1293.8666666666666,162.53333333333333,595,7,9284,12,1219000,9704000,64,0,0,2,12,23168,14480,21248,83,0,0,0,0,0,3,0,0,0,3,0,0,0,Benign
1424237887681,1424237887745,59.166.0.1,24372,149.171.126.9,21,6,37.0,701,13,1052,15,24,24,24,63,53,62,31,32,106,52,52,106,16.6984126984127,11.126984126984128,190,3,265,3,87625,131500,39,0,0,0,0,11584,11584,48640,190,0,0,0,125,0,33,2,7,0,28,3,7,0,Benign
1424242966141,1424242966814,59.166.0.1,30247,149.171.126.1,25,6,37.0,37530,52,3276,40,27,27,27,672,672,672,31,32,1500,52,52,1500,4.875,55.848214285714285,18349,18,958,7,446121,38942,64,2,2,0,24,15928,30408,44288,173,0,0,0,0,0,143,12,29,0,145,17,33,0,Benign
1421950912479,1421950913007,59.166.0.7,35047,149.171.126.7,25,6,3.0,37410,52,3380,42,27,27,27,527,527,527,31,32,1500,52,52,1500,6.413662239089184,70.98671726755218,18289,18,958,7,566818,51212,66,2,2,0,24,15928,30408,28928,113,0,0,0,0,0,73,10,22,0,75,12,24,0,Benign
1421953540691,1421953540853,59.166.0.8,23228,149.171.126.1,21,6,37.0,1031,19,1474,21,24,24,24,161,129,160,31,32,106,52,52,106,9.15527950310559,6.403726708074534,251,4,437,5,50913,72790,51,0,0,0,0,14480,13032,64256,251,0,0,0,230,0,67,5,14,0,75,6,16,0,Benign
1421931882699,1421931884081,59.166.0.2,64081,149.171.126.9,21,6,37.0,1493,27,2056,29,24,24,24,1382,1371,1381,31,32,106,52,52,106,1.487698986975398,1.0803183791606368,378,6,611,7,8636,11892,67,0,0,0,0,17376,15928,31232,122,0,0,0,125,0,386,47,93,0,385,49,95,0,Benign
1424262502725,1424262502726,59.166.0.1,55172,149.171.126.0,53,17,5.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,inf,inf,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,29217,1,60,0,0,0,0,0,0,0,0,0,0,Benign
1424252797496,1424252797502,59.166.0.9,13067,149.171.126.7,41610,6,11.0,4048,18,2456,18,27,27,27,6,5,5,31,32,916,52,52,916,409.3333333333333,674.6666666666666,1920,7,1068,6,4626285,2806857,14,18,2,2,0,14480,14480,32768,128,0,0,0,0,0,1,0,0,0,1,0,0,0,Benign
1421946190285,1421946190315,59.166.0.5,32261,149.171.126.9,53876,6,36.0,2542,40,21834,42,27,27,27,30,29,28,31,32,1352,52,52,1352,727.8,84.73333333333333,595,7,10497,13,656000,5634580,66,0,0,2,14,24616,14480,21248,83,0,0,0,0,0,7,0,1,0,7,0,1,0,Benign
1424223879681,1424223879682,59.166.0.1,4836,149.171.126.5,53,17,5.0,146,2,178,2,0,0,0,1,0,0,31,31,89,73,73,89,178.0,146.0,0,0,0,0,584000,712000,4,0,0,0,0,0,0,0,0,46913,1,60,0,0,0,0,0,0,0,0,0,0,Benign
1424229437771,1424229440373,59.166.0.0,29356,149.171.126.0,6881,6,37.0,13870,242,548216,438,27,27,27,2602,2601,2601,31,32,1500,52,52,1500,210.6902382782475,5.330514988470408,1735,21,272908,196,42627,1684874,292,0,4,32,352,65160,34752,50944,199,0,0,0,0,0,1996,10,128,0,1996,5,95,0,Benign
1421953884995,1421953886006,59.166.0.7,53554,149.171.126.9,80,6,7.0,1684,14,10168,18,27,27,27,1011,1011,1011,31,32,1500,52,52,1500,10.057368941641938,1.665677546983185,634,3,4820,4,13312,80379,20,0,6,0,6,11584,8688,31232,122,0,0,0,0,0,999,77,266,0,1001,59,235,0,Benign
